"SITC","Landen","Perioden","Invoerwaarde (mln euro)","Uitvoerwaarde (mln euro)","Handelsbalans (mln euro)","Jaarmutatie invoerwaarde (%)","Jaarmutatie uitvoerwaarde (%)"
"01 Vlees en vleesproducten","Totaal landen","2021 mei","370","841","471","14,3","22,3"
"01 Vlees en vleesproducten","Totaal landen","2021 juni","441","902","461","23,8","27,0"
"01 Vlees en vleesproducten","Totaal landen","2021 juli","403","881","477","1,3","12,6"
"01 Vlees en vleesproducten","Totaal landen","2021 augustus","399","861","462","16,1","22,5"
"01 Vlees en vleesproducten","Totaal landen","2021 september","419","911","492","13,2","11,8"
"01 Vlees en vleesproducten","Totaal landen","2021 oktober","465","872","407","6,9","1,4"
"01 Vlees en vleesproducten","Totaal landen","2021 november","495","967","472","38,8","29,9"
"01 Vlees en vleesproducten","Totaal landen","2021 december","432","935","504","16,7","16,8"
"01 Vlees en vleesproducten","Totaal landen","2021","4.852","10.305","5.453","7,7","10,6"
"01 Vlees en vleesproducten","Totaal landen","2022 januari*","448","790","342",".","."
"01 Vlees en vleesproducten","Totaal landen","2022 februari*","417","818","402",".","."
"01 Vlees en vleesproducten","Totaal landen","2022 maart*","519","1.039","520",".","."
"01 Vlees en vleesproducten","Totaal landen","2022 april*","573","1.019","446",".","."
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2021 mei","269","531","262","16,1","25,4"
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2021 juni","304","618","314","21,9","31,3"
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2021 juli","283","608","326","3,1","13,0"
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2021 augustus","286","596","309","14,8","22,5"
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2021 september","308","635","327","16,7","22,5"
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2021 oktober","314","633","320","7,8","18,3"
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2021 november","341","673","332","31,4","57,9"
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2021 december","325","667","343","16,1","37,3"
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2021","3.493","6.935","3.442",".","."
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2022 januari*","298","551","253",".","."
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2022 februari*","325","572","247",".","."
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2022 maart*","395","726","331",".","."
"01 Vlees en vleesproducten","EU (exclusief Nederland)","2022 april*","387","741","353",".","."
"01 Vlees en vleesproducten","Niet-EU","2021 mei","101","310","209","9,8","17,4"
"01 Vlees en vleesproducten","Niet-EU","2021 juni","136","283","147","28,0","18,7"
"01 Vlees en vleesproducten","Niet-EU","2021 juli","121","272","152","-2,7","11,7"
"01 Vlees en vleesproducten","Niet-EU","2021 augustus","113","265","152","19,5","22,6"
"01 Vlees en vleesproducten","Niet-EU","2021 september","111","276","165","4,6","-6,9"
"01 Vlees en vleesproducten","Niet-EU","2021 oktober","152","238","87","5,2","-26,5"
"01 Vlees en vleesproducten","Niet-EU","2021 november","154","294","140","58,6","-7,6"
"01 Vlees en vleesproducten","Niet-EU","2021 december","107","268","161","18,7","-14,9"
"01 Vlees en vleesproducten","Niet-EU","2021","1.360","3.370","2.011",".","."
"01 Vlees en vleesproducten","Niet-EU","2022 januari*","149","238","89",".","."
"01 Vlees en vleesproducten","Niet-EU","2022 februari*","91","246","155",".","."
"01 Vlees en vleesproducten","Niet-EU","2022 maart*","124","312","189",".","."
"01 Vlees en vleesproducten","Niet-EU","2022 april*","185","278","93",".","."
"02 Zuivelproducten en eieren","Totaal landen","2021 mei","390","744","354","9,0","6,9"
"02 Zuivelproducten en eieren","Totaal landen","2021 juni","437","783","346","17,6","10,7"
"02 Zuivelproducten en eieren","Totaal landen","2021 juli","399","794","395","8,5","8,1"
"02 Zuivelproducten en eieren","Totaal landen","2021 augustus","350","745","395","10,4","13,3"
"02 Zuivelproducten en eieren","Totaal landen","2021 september","368","790","423","10,8","12,3"
"02 Zuivelproducten en eieren","Totaal landen","2021 oktober","387","757","369","15,4","6,2"
"02 Zuivelproducten en eieren","Totaal landen","2021 november","402","852","450","28,0","17,2"
"02 Zuivelproducten en eieren","Totaal landen","2021 december","441","888","447","27,6","20,0"
"02 Zuivelproducten en eieren","Totaal landen","2021","4.531","9.326","4.795","9,6","7,6"
"02 Zuivelproducten en eieren","Totaal landen","2022 januari*","396","806","409",".","."
"02 Zuivelproducten en eieren","Totaal landen","2022 februari*","410","836","426",".","."
"02 Zuivelproducten en eieren","Totaal landen","2022 maart*","518","987","469",".","."
"02 Zuivelproducten en eieren","Totaal landen","2022 april*","504","961","457",".","."
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2021 mei","371","512","141","10,7","9,3"
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2021 juni","418","552","134","19,3","12,4"
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2021 juli","379","556","177","9,2","9,9"
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2021 augustus","333","526","194","9,8","12,9"
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2021 september","350","558","208","11,2","14,3"
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2021 oktober","368","563","195","15,8","10,6"
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2021 november","383","623","240","28,6","18,7"
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2021 december","422","662","240","31,3","23,9"
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2021","4.327","6.665","2.337",".","."
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2022 januari*","381","588","208",".","."
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2022 februari*","390","602","213",".","."
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2022 maart*","490","712","222",".","."
"02 Zuivelproducten en eieren","EU (exclusief Nederland)","2022 april*","478","708","231",".","."
"02 Zuivelproducten en eieren","Niet-EU","2021 mei","19","232","213","-15,5","2,2"
"02 Zuivelproducten en eieren","Niet-EU","2021 juni","19","231","212","-10,0","6,8"
"02 Zuivelproducten en eieren","Niet-EU","2021 juli","21","239","218","-3,0","4,3"
"02 Zuivelproducten en eieren","Niet-EU","2021 augustus","17","218","201","23,5","14,3"
"02 Zuivelproducten en eieren","Niet-EU","2021 september","18","232","214","3,8","7,9"
"02 Zuivelproducten en eieren","Niet-EU","2021 oktober","19","194","175","7,5","-4,9"
"02 Zuivelproducten en eieren","Niet-EU","2021 november","19","229","210","17,8","13,3"
